filename,participant,country,topic,CEFR,vocabulary,language_use,score_percent,score_percent_weighted,VST,nwords,mattr50_aw,mtld_original_aw,SUBTLEXus_Freq_Log_CW,COCA_magazine_lemma_frequency_Log_CW,COCA_magazine_Bigram_Lemma_Frequency_Log,COCA_lemma_magazine_bi_MI,COCA_lemma_magazine_bi_prop_90k,Brysbaert_Concreteness_Combined_CW,Kuperman_AoA_CW,eat_tokens_CW_CW,USF_CW_CW,McD_CD_CW,LD_Mean_RT_CW,WN_Mean_RT_CW
W_CHN_PTJ0_001_B1_1_ORIG.txt,W_CHN_001,CHN,PTJ,B1_1,8,7,70,68.3,30,261,0.805429864,72.52605422,3.981572662,2.509907257,1.460214692,1.660826315,0.807377049,2.974100719,6.005,75.13445378,36.6147541,0.676,618.3088406,615.7289855
W_CHN_SMK0_001_B1_1_ORIG.txt,W_CHN_001,CHN,SMK,B1_1,8,6,63.3,60.8,30,217,0.741785714,59.37089613,3.672434746,2.356046556,1.414387221,1.066980429,0.665024631,3.189491525,5.878141593,88.95652174,36.14705882,0.96395614,609.7776271,613.0923729
W_CHN_SMK0_002_B1_1_ORIG.txt,W_CHN_002,CHN,SMK,B1_1,9,9,78.3,75.4,27,292,0.771701245,70.87298025,3.768439865,2.396216935,1.399445336,1.354868917,0.768421053,2.813708609,6.16389313,89.64516129,23.5483871,0.935083969,617.3688514,615.0783108
W_CHN_PTJ0_002_B1_1_ORIG.txt,W_CHN_002,CHN,PTJ,B1_1,9,7,66.7,62.1,27,201,0.809342105,85.737295,3.931866972,2.592150418,1.416293691,1.476639733,0.752688172,2.824311927,6.020571429,86,35.16842105,0.671633028,613.8875229,615.9480734
W_CHN_PTJ0_003_B1_1_ORIG.txt,W_CHN_003,CHN,PTJ,B1_1,8,9,76.7,73.8,32,230,0.731914894,54.39521122,3.987683206,2.576568264,1.297195874,1.497853148,0.778801843,3.092307692,5.7108,86.31192661,49.38738739,0.674911111,617.4303846,606.9987692
W_CHN_SMK0_003_B1_1_ORIG.txt,W_CHN_003,CHN,SMK,B1_1,8,8,63.3,61.3,32,248,0.754646465,64.08514747,3.767318792,2.41013324,1.459330049,1.566251398,0.638297872,3.235033113,5.87414966,91.51181102,34.84,0.847372414,615.3322973,613.2462162
W_CHN_PTJ0_004_B1_2_ORIG.txt,W_CHN_004,CHN,PTJ,B1_2,6,8,66.7,62.1,37,261,0.779357798,68.68659119,4.196135,2.70964196,1.44970694,1.46023701,0.842323651,2.85915493,5.383941606,83.625,39.11111111,0.611277778,615.8264748,614.082446
W_CHN_SMK0_004_B1_2_ORIG.txt,W_CHN_004,CHN,SMK,B1_2,9,9,76.7,71.7,37,230,0.820888889,76.33333333,3.855473228,2.412571323,1.538567139,1.46410342,0.744186047,3.06,5.645934959,89.93636364,39.68269231,0.771033058,614.1789764,612.1855906
W_CHN_SMK0_005_B1_2_ORIG.txt,W_CHN_005,CHN,SMK,B1_2,10,10,80,77.1,44,208,0.769299363,67.7485697,3.66024,2.393721827,1.407804656,1.133179256,0.676470588,3.163543307,6.105241935,88.70408163,25.9,0.86496748,626.8357724,616.5260976
W_CHN_PTJ0_005_B1_2_ORIG.txt,W_CHN_005,CHN,PTJ,B1_2,9,10,73.3,70.8,44,221,0.745517241,46.5642487,3.918122581,2.549744588,1.423978976,1.538008806,0.847619048,2.840725806,6.179661017,84.55963303,39.82075472,0.610104839,617.1668293,615.2545528
